,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
10,2026-03-20,SZ002493,SH600875,SZ002001,SH600115,SH603993,SH600522,SH600489,SH600482,SH600176,SH603799,SZ300442,SZ000301,SZ000630,SH600029,SZ002384,SH600219,SH600111,SZ300251,SZ000338,SH600026,0.02929062582552433,0.012838483,0.3,0.02869062582552433,0.9530295106855279,0.9695071,1.0210996231168508,-0.06666353692653669
11,2026-03-23,SH603993,SH600115,SZ002493,SH600029,SH600489,SH600482,SH600547,SH600176,SH600875,SH600219,SZ000630,SH600362,SZ300251,SH600893,SH603799,SH601600,SZ000301,SH600346,SH600010,SH600522,0.034892283380031586,0.014023185,0.45,0.03399228338003159,0.9854251598822833,0.9831027,1.0210996231168508,-0.034937299384827036
12,2026-03-24,SH600893,SH600029,SH600115,SZ300394,SH600489,SZ002493,SZ000338,SH600875,SH601021,SZ002384,SH603799,SZ000975,SH600362,SZ000630,SZ300316,SH688008,SH603993,SH600989,SH600346,SH600515,-0.018339106813073158,-0.013209939,0.7,-0.019739106813073157,0.9659737473950772,0.97011596,1.0210996231168508,-0.05398677511358275
13,2026-03-25,SZ002384,SH605117,SH601898,SH600989,SZ300316,SZ002001,SZ002493,SH600188,SH600026,SH600482,SZ300661,SZ300418,SH600029,SZ300394,SH601888,SH688111,SZ002601,SH601916,SH600025,SH600900,0.0019517838954925537,0.005592346,0.55,0.0008517838954925536,0.9667965482765769,0.9755412,1.0210996231168508,-0.053180976283701574
14,2026-03-26,SZ002384,SH605117,SH601898,SZ300394,SH600989,SH600893,SH600547,SZ300316,SH600115,SH600875,SZ002001,SZ000975,SH600489,SH601872,SH601916,SH601021,SH600584,SZ001965,SH600025,SH600674,0.008401903323829174,-0.002358675,0.65,0.007101903323829174,0.9736626438962488,0.9732402,1.0210996231168508,-0.046456759112106207
15,2026-03-27,SZ002384,SH601916,SH601166,SH600115,SH600900,SH601988,SH600025,SH600919,SZ002460,SH601868,SH601169,SH605117,SZ002493,SH688082,SH600989,SH600015,SH600104,SZ002422,SH600674,SH600011,-0.007449150085449219,-0.009327769,0.45,-0.008349150085449219,0.9655333883497637,0.96416205,1.0210996231168508,-0.05441803474324495
16,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SH600115,SZ002384,SH601916,SH600026,SH600919,SH600025,SH601166,SH601111,SH600029,SH600989,SZ301236,SZ000001,SH601898,SH601818,SH601169,0.020744523033499718,0.01708293,0.5,0.019744523033499717,0.9845973845756487,0.9806328,1.0210996231168508,-0.035747969850170896
17,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SH600029,SZ000301,SH601169,SH600900,SH601111,SZ002601,SH601166,SH601868,SH601018,SH601328,SH601658,SH601816,SH600887,-0.00997511763125658,-0.010419548,0.3,-0.01057511763125658,0.9741851514143336,0.97041506,1.0210996231168508,-0.04594504849518337
18,2026-04-01,SH600115,SH603993,SZ002493,SH600029,SH600919,SZ002601,SH601166,SH603799,SH600219,SH601169,SH605117,SZ000001,SH600362,SH601868,SH601658,SZ300274,SH600893,SH601600,SH601328,SH600887,-0.016510009765625,-0.008511066,0.5,-0.017510009765625,0.9571271598995418,0.96215576,1.0210996231168508,-0.06265056001297556
19,2026-04-02,SZ000630,SZ002601,SH601169,SH603799,SH600362,SH600489,SH601018,SZ002050,SH600919,SH603993,SH601166,SH600547,SH600372,SH601868,SZ002049,SZ002493,SH688082,SH601816,SH600887,SH601668,0.0028140335343778133,-3.8325787e-05,0.55,0.0017140335343778133,0.9587677079482733,0.96211886,1.0210996231168508,-0.06104391163940766
20,2026-04-03,SH603260,SH600362,SZ300274,SZ002601,SH603799,SZ301269,SH603993,SH600570,SH600115,SZ002493,SH601600,SH603501,SZ000630,SZ000538,SH600588,SZ002625,SH601169,SH600372,SH688082,SH600219,0.04794027656316757,0.034891605,0.3,0.04734027656316757,1.004156036402379,0.99568874,1.0210996231168508,-0.01659347073574707
21,2026-04-07,SH600893,SZ002493,SH603799,SZ300274,SZ000630,SH600489,SH600115,SH600219,SH600919,SH600588,SH601600,SH603993,SZ002601,SH603501,SH603260,SZ000002,SH601169,SH600926,SZ301269,SZ301236,-0.012045323848724365,-0.0063844323,0.45,-0.012945323848724365,0.9911569113164986,0.98933184,1.0210996231168508,-0.029323986732022914
22,2026-04-08,SH603993,SZ000630,SH603799,SH600362,SH688396,SZ301236,SH600887,SH601166,SH600893,SZ002493,SH601816,SH601998,SH600115,SH600489,SH600219,SH601607,SH600919,SH600600,SH601169,SZ000001,-0.00120602548122406,0.015406609,0.4,-0.00200602548122406,0.9891686252965064,1.0045741,1.0210996231168508,-0.03127118754865146
23,2026-04-09,SZ300896,SH600919,SH601998,SZ301236,SZ002601,SH600362,SH600926,SH600160,SZ000630,SZ000001,SH600893,SZ300316,SH600372,SH601166,SH601816,SH601169,SZ000002,SH600547,SH600219,SH603799,-0.0010470956331118941,0.0020662546,0.35,-0.0017470956331118942,0.9874404531108395,1.0066497,1.0210996231168508,-0.03296364942655496
24,2026-04-10,SZ002916,SZ003816,SH600219,SH600919,SZ000630,SZ002074,SH600887,SH601998,SH600926,SZ301236,SH600362,SZ002601,SH601916,SH601919,SH601169,SH601668,SH601166,SZ000002,SZ000001,SH600160,0.015459042973816395,0.011865735,0.55,0.014359042973816395,1.0016191530111427,1.0185944,1.0210996231168508,-0.01907793291142838
