,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
10,2026-03-20,SZ002493,SH600875,SZ002001,SH600115,SH603993,SH600522,SH600489,SH600482,SH600176,SH603799,SZ300442,SZ000301,SZ000630,SH600029,SZ002384,SH600219,SH600111,SZ300251,SZ000338,SH600026,SZ000807,SH601600,SH600893,SH601868,SH601888,SH600188,SH601698,SH600989,SH688396,SH600023,SZ002601,SH601916,SH601898,SH600027,SH688082,SH600426,SH600919,SZ000538,SH600362,SH600010,SZ300498,SH600025,SZ001965,SH600036,SH601166,SH601111,SZ000895,SZ300316,SH600900,SH601877,0.01915569230914116,0.012838483,0.28,0.018595692309141158,0.9564356376443275,0.9695071,1.0109410110461712,-0.05391548350129635
11,2026-03-23,SH603993,SH600115,SZ002493,SH600029,SH600489,SH600482,SH600547,SH600176,SH600875,SH600219,SZ000630,SH600362,SZ300251,SH600893,SH603799,SH601600,SZ000301,SH600346,SH600010,SH600522,SH600111,SZ002384,SZ000338,SH601899,SH601021,SH601111,SH600989,SH688396,SH600515,SH600026,SZ002601,SH600025,SH601868,SH688169,SH601888,SZ300394,SH688082,SZ300442,SH601100,SH601689,SZ302132,SH601898,SH600760,SH600188,SZ002001,SZ000975,SH600674,SH601006,SH600900,SZ300316,0.02199292741715908,0.014023185,0.4,0.021192927417159082,0.976705308692108,0.9831027,1.0109410110461712,-0.03386518301264123
12,2026-03-24,SH600893,SH600029,SH600115,SZ300394,SH600489,SZ002493,SZ000338,SH600875,SH601021,SZ002384,SH603799,SZ000975,SH600362,SZ000630,SZ300316,SH688008,SH603993,SH600989,SH600346,SH600515,SZ300251,SH688111,SZ300418,SZ000301,SH600482,SH601698,SH603986,SH601898,SZ300433,SH600026,SH600584,SH688012,SZ301269,SH600547,SH601689,SH688082,SZ002049,SH601111,SZ001965,SH600900,SH600036,SH601166,SH688396,SH600015,SZ000895,SZ300347,SH601058,SH600588,SH600919,SH600938,-0.01514378096908331,-0.013209939,0.48,-0.016103780969083308,0.9609766603295895,0.97011596,1.0109410110461712,-0.04942360649201096
13,2026-03-25,SZ002384,SH605117,SH601898,SH600989,SZ300316,SZ002001,SZ002493,SH600188,SH600026,SH600482,SZ300661,SZ300418,SH600029,SZ300394,SH601888,SH688111,SZ002601,SH601916,SH600025,SH600900,SH601021,SH603993,SH688082,SZ000301,SH601166,SH600015,SH601698,SH601872,SH600036,SH600115,SZ003816,SH601838,SH601939,SZ002916,SZ301269,SH601825,SZ300803,SH601236,SZ002459,SH600489,SZ000001,SH600919,SZ000338,SH601006,SH601328,SH600018,SZ300413,SH601100,SZ000651,SH600938,0.002227155026048422,0.005592346,0.38,0.0014671550260484218,0.9623865620667073,0.9755412,1.0109410110461712,-0.04802896355863277
14,2026-03-26,SZ002384,SH605117,SH601898,SZ300394,SH600989,SH600893,SH600547,SZ300316,SH600115,SH600875,SZ002001,SZ000975,SH600489,SH601872,SH601916,SH601021,SH600584,SZ001965,SH600025,SH600674,SH601166,SH600015,SH600919,SZ003816,SH600900,SH600023,SH601818,SZ300750,SH601328,SZ000630,SZ000983,SH601169,SH601939,SH601838,SZ300418,SH600938,SH601888,SH601988,SH600886,SZ300442,SH688111,SH601006,SH600188,SH688082,SZ000001,SH600018,SH601877,SH601088,SH601658,SH603993,0.0016973960446193814,-0.002358675,0.4,0.0008973960446193814,0.9632502039609009,0.9732402,1.0109410110461712,-0.047174668515937955
15,2026-03-27,SZ002384,SH601916,SH601166,SH600115,SH600900,SH601988,SH600025,SH600919,SZ002460,SH601868,SH601169,SH605117,SZ002493,SH688082,SH600989,SH600015,SH600104,SZ002422,SH600674,SH600011,SH601898,SH601818,SH601328,SH600036,SZ001965,SH600183,SH601939,SH601838,SH600029,SH600233,SH601398,SZ000001,SH603993,SH600886,SH601658,SH601111,SH601825,SH600362,SZ000338,SH600023,SH601816,SH601006,SZ002001,SH600018,SH601021,SH600016,SH600219,SZ300433,SZ300316,SH601018,-0.008996600285172462,-0.009327769,0.32,-0.009636600285172462,0.9539677467707188,0.96416205,1.0109410110461712,-0.05635666537703682
16,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SH600115,SZ002384,SH601916,SH600026,SH600919,SH600025,SH601166,SH601111,SH600029,SH600989,SZ301236,SZ000001,SH601898,SH601818,SH601169,SH600600,SH600900,SH600104,SH601328,SH601018,SH601838,SH600036,SZ000630,SH600160,SH600875,SZ300316,SZ001965,SH601658,SH601816,SH601006,SH603893,SZ000157,SH600188,SH600886,SH603799,SH601988,SH601825,SZ301269,SZ300418,SH601021,SH600111,SH600887,SH600018,SH600926,SH601077,0.015414530411362648,0.01708293,0.4,0.014614530411362648,0.9679095374173586,0.9806328,1.0109410110461712,-0.04256576116570983
17,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SH600029,SZ000301,SH601169,SH600900,SH601111,SZ002601,SH601166,SH601868,SH601018,SH601328,SH601658,SH601816,SH600887,SZ000001,SH601838,SH601668,SZ301269,SH600018,SH601872,SH601006,SH688082,SH600588,SH600025,SH601899,SH600026,SH600489,SH601021,SH601939,SH601988,SH600989,SH600036,SZ002384,SH600660,SH601229,SH600377,SZ000895,SH600015,SH600016,SH600893,SZ000651,SH601607,SH601009,SH600346,-0.0021712160669267178,-0.010419548,0.34,-0.002851216066926718,0.9651498181929427,0.97041506,1.0109410110461712,-0.04529561305049991
18,2026-04-01,SH600115,SH603993,SZ002493,SH600029,SH600919,SZ002601,SH601166,SH603799,SH600219,SH601169,SH605117,SZ000001,SH600362,SH601868,SH601658,SZ300274,SH600893,SH601600,SH601328,SH600887,SH600036,SZ002625,SH601838,SZ000630,SH603501,SH601009,SH600588,SH601668,SH688126,SH601816,SH688506,SH688008,SZ003816,SH601018,SH601229,SH601006,SH600015,SZ300251,SH601988,SZ000895,SH603260,SH600926,SH600585,SH601888,SH601607,SH600018,SH600372,SH600023,SH601939,SZ000301,-0.01458492036908865,-0.008511066,0.44,-0.01546492036908865,0.9502238531103484,0.96215576,1.0109410110461712,-0.060060040370693527
19,2026-04-02,SZ000630,SZ002601,SH601169,SH603799,SH600362,SH600489,SH601018,SZ002050,SH600919,SH603993,SH601166,SH600547,SH600372,SH601868,SZ002049,SZ002493,SH688082,SH601816,SH600887,SH601668,SH600570,SH600018,SZ300896,SZ301269,SH601328,SH601658,SH600926,SH600036,SZ002241,SH600183,SH603893,SZ300433,SH600115,SZ000001,SH600061,SH688396,SH601838,SH601009,SH688111,SH600000,SH603260,SH603195,SH601229,SH600150,SZ000651,SZ002625,SZ002415,SH600009,SH601607,SZ002236,0.00321889272890985,-3.8325787e-05,0.38,0.00245889272890985,0.9525603516335981,0.96211886,1.0109410110461712,-0.05774882883834926
20,2026-04-03,SH603260,SH600362,SZ300274,SZ002601,SH603799,SZ301269,SH603993,SH600570,SH600115,SZ002493,SH601600,SH603501,SZ000630,SZ000538,SH600588,SZ002625,SH601169,SH600372,SH688082,SH600219,SZ002050,SH600489,SZ301236,SH600919,SH600887,SZ002241,SZ000063,SH603893,SH601166,SH600150,SH601698,SZ300015,SH601939,SH601668,SH601298,SH600926,SH600585,SH600893,SZ000425,SH600183,SZ300628,SH601018,SH601607,SH601328,SH601816,SH601059,SH600029,SZ300896,SH601658,SH600160,0.04084412753582001,0.034891605,0.3,0.040244127535820004,0.9908953119103062,0.99568874,1.0109410110461712,-0.019828752535343965
21,2026-04-07,SH600893,SZ002493,SH603799,SZ300274,SZ000630,SH600489,SH600115,SH600219,SH600919,SH600588,SH601600,SH603993,SZ002601,SH603501,SH603260,SZ000002,SH601169,SH600926,SZ301269,SZ301236,SH600362,SZ000538,SH688111,SZ000001,SH601658,SH600600,SH601166,SH601607,SH600547,SH688082,SZ002625,SH601838,SH601009,SH601816,SH600887,SH601698,SZ000425,SH601628,SH601336,SH601868,SH601668,SH601328,SH601988,SH600029,SH600036,SZ002352,SZ000333,SH600018,SH600570,SH600372,-0.014255120418965816,-0.0063844323,0.34,-0.014935120418965817,0.9760961711043371,0.98933184,1.0109410110461712,-0.034467728147436545
22,2026-04-08,SH603993,SZ000630,SH603799,SH600362,SH688396,SZ301236,SH600887,SH601166,SH600893,SZ002493,SH601816,SH601998,SH600115,SH600489,SH600219,SH601607,SH600919,SH600600,SH601169,SZ000001,SZ002601,SH600926,SZ000538,SH601668,SZ000651,SH601600,SH601838,SH600018,SH600036,SH600989,SH601633,SH601328,SH600111,SH601658,SH601988,SZ002352,SH600941,SH600547,SH600233,SH601728,SH601006,SH600372,SH601018,SZ000895,SH601229,SH601077,SH600741,SH601939,SH601009,SH600000,-0.00022194147459231317,0.015406609,0.38,-0.0009819414745923132,0.975137701790739,1.0045741,1.0109410110461712,-0.03541582433022592
23,2026-04-09,SZ300896,SH600919,SH601998,SZ301236,SZ002601,SH600362,SH600926,SH600160,SZ000630,SZ000001,SH600893,SZ300316,SH600372,SH601166,SH601816,SH601169,SZ000002,SH600547,SH600219,SH603799,SH600050,SH600887,SH600015,SH601668,SH603993,SH600941,SH601658,SH600600,SH601607,SZ000768,SH601298,SH600018,SZ000651,SH601838,SH601628,SH600588,SH603501,SH600036,SH600690,SZ002493,SH601901,SZ002625,SH601808,SZ000895,SZ301269,SH601328,SH688187,SH601988,SZ002230,SH601916,-0.0017835700418800116,0.0020662546,0.34,-0.0024635700418800116,0.9727353817618996,1.0066497,1.0109410110461712,-0.03779214500827756
