,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
10,2026-03-20,SH600023,SH601916,SH600027,SH600919,SZ000538,SZ300498,SH600025,SZ001965,SH600036,SH601166,SZ000895,SH600900,SH601838,SH600887,SH601006,SH601229,SH600905,SH603195,SH600377,SH601328,SH601988,SH601939,SH601009,SZ002714,SZ002422,SH600015,SZ003816,SH601658,SZ000999,SZ002459,SH603259,SZ300750,SH600600,SZ002415,SH601077,SZ000651,SH601818,SH603296,SZ000708,SH600886,SH600926,SH601816,SH601169,SH600018,SH601919,SH600918,SH600674,SH601236,SZ002311,SH601825,0.017887121066451073,0.012838483,0.28,0.01732712106645107,0.9917919837016677,0.9695071,1.0181410838470026,-0.025879615864017616
11,2026-03-23,SH600674,SH601006,SH600900,SH600886,SH600905,SZ002459,SZ300498,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ300014,SZ001965,SZ000983,SH601166,SH601328,SH600036,SH600015,SZ003816,SH600919,SH601229,SZ000999,SH600104,SH601077,SH601988,SH601916,SH601919,SH600011,SZ002074,SH601236,SH601825,SH601818,SH600930,SZ000895,SZ000617,SZ000708,SZ002422,SZ002594,SH600377,SZ000538,SZ000651,SH601633,SH601878,SZ300750,SH600887,SZ000333,SH600018,0.00751193892210722,0.014023185,0.2,0.0071119389221072195,0.9988455477131896,0.9831027,1.0181410838470026,-0.018951731189262803
12,2026-03-24,SZ001965,SH600900,SH600036,SH601166,SH600015,SZ000895,SH600919,SH601328,SH600023,SZ002422,SH600674,SH601939,SH601006,SH601916,SH601998,SH601818,SZ300498,SZ000538,SH601988,SH600886,SH600377,SH601825,SZ000651,SH601229,SZ003816,SZ002459,SH601838,SH601236,SH601169,SH600918,SH600018,SH600905,SH601009,SZ300750,SH601658,SH601985,SH601012,SH601919,SH601077,SH600941,SH601607,SZ300014,SH601901,SH600050,SH600011,SH600887,SH601816,SH600027,SZ002371,SH600104,-0.0019029080867767334,-0.013209939,0.18,-0.0022629080867767335,0.9965852520458284,0.97011596,1.0181410838470026,-0.02117175325027301
13,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ003816,SH601838,SH601939,SH601825,SH601236,SZ002459,SZ000001,SH600919,SH601006,SH601328,SH600018,SZ000651,SH600918,SH601985,SH601988,SH601009,SH601818,SH601229,SH600674,SH601169,SH600027,SZ002422,SH601012,SH601633,SH600886,SZ300498,SH600905,SH600023,SH601658,SH601077,SH600011,SZ001965,SZ000895,SZ000538,SH601398,SH601607,SH600600,SH601390,SH600926,SZ000166,SH600887,SZ002415,SH600104,SH600377,-0.0011590194189921021,0.005592346,0.22,-0.0015990194189921022,0.994991692875126,0.9755412,1.0181410838470026,-0.02273691862468376
14,2026-03-26,SH601916,SZ001965,SH600674,SH601166,SH600015,SH600919,SZ003816,SH600900,SH600023,SH601818,SH601328,SZ000983,SH601169,SH601939,SH601838,SH601988,SH600886,SH601006,SZ000001,SH600018,SH601658,SH600036,SZ000895,SH601398,SH601825,SH600600,SH601009,SH601229,SH601077,SH601816,SH600104,SH600377,SZ300014,SZ002074,SH688009,SZ300498,SH600926,SH600918,SH601766,SH600016,SH600027,SZ000651,SH601998,SZ002142,SZ002714,SH600011,SH601633,SH600887,SH601236,SZ000708,-0.00455334410071373,-0.002358675,0.16,-0.00487334410071373,0.9901427559783939,0.9732402,1.0181410838470026,-0.027499457897149478
15,2026-03-27,SH601916,SH601166,SH600900,SH601988,SH600919,SZ002460,SH601169,SH600015,SH600104,SZ002422,SH600674,SH600011,SH601818,SH601328,SH600036,SZ001965,SH601939,SH601838,SH601398,SZ000001,SH600886,SH601658,SH601825,SH600023,SH601816,SH601006,SH600018,SH600016,SZ000895,SH601766,SH600600,SH600887,SH601985,SH600027,SH600905,SH601229,SZ000651,SH603288,SH601009,SZ002352,SH601077,SH600918,SZ000708,SH601668,SH688009,SH601012,SH600926,SH600377,SZ000983,SZ300498,-0.001018770970404148,-0.009327769,0.14,-0.0012987709704041482,0.9888567873103732,0.96416205,1.0181410838470026,-0.028762513369934926
16,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH601818,SH601169,SH600600,SH600900,SH600104,SH601328,SH601838,SH600036,SZ001965,SH601658,SH601816,SH601006,SH600886,SH601988,SH601825,SH600887,SH600018,SH600926,SH601077,SH600015,SH601229,SH600674,SH600016,SH601939,SH601009,SH601398,SZ000651,SZ002352,SH601668,SH601607,SH603288,SH600377,SH601985,SZ000895,SZ002142,SH600023,SH600905,SH688009,SZ002074,SZ300498,SH600918,SZ000858,SH601998,SH600066,SZ002422,SH600660,0.0009087681537494063,0.01708293,0.1,0.0007087681537494064,0.9895576575098377,0.9806328,1.0181410838470026,-0.028074131169683943
17,2026-03-31,SH600919,SH601169,SH600900,SH601166,SH601328,SH601658,SH601816,SH600887,SZ000001,SH601838,SH601668,SH600018,SH601006,SH601939,SH601988,SH600036,SH600660,SH601229,SH600377,SZ000895,SH600015,SH600016,SZ000651,SH601607,SH601009,SH601398,SH601916,SH600023,SH600104,SH600886,SH600926,SH601818,SH601077,SH600600,SH601825,SZ001965,SH600918,SH600674,SZ000538,SH600039,SZ300498,SH601998,SH601186,SZ002142,SH601985,SZ002352,SZ000858,SH600161,SH600741,SH603288,0.0054235015995800495,-0.010419548,0.18,0.0050635015995800494,0.9945682842915156,0.97041506,1.0181410838470026,-0.02315278297818831
18,2026-04-01,SH600919,SH601166,SH601169,SZ000001,SH601658,SH601328,SH600887,SH600036,SH601838,SH601009,SH601668,SH601816,SH601229,SH601006,SH600015,SH601988,SZ000895,SH600926,SH601607,SH600018,SH600023,SH601939,SZ000538,SH600104,SH600918,SH601998,SH600900,SH601916,SH601077,SZ000651,SZ002415,SH601825,SH600016,SZ002142,SH600061,SH600600,SH603195,SZ000333,SH601390,SH601186,SZ000858,SH601398,SH601456,SH601766,SH600519,SH601818,SH600886,SH600019,SZ002352,SH600161,-0.012117087841033936,-0.008511066,0.16,-0.012437087841033936,0.9821987511758756,0.96215576,1.0181410838470026,-0.03530191762355806
19,2026-04-02,SH601169,SH600919,SH601166,SH601816,SH600887,SH601668,SH600018,SH601328,SH601658,SH600926,SH600036,SZ000001,SH600061,SH601838,SH601009,SH603195,SH601229,SZ000651,SZ002415,SH601607,SH600900,SZ000538,SH600600,SH601006,SH600161,SH601939,SZ002142,SH601766,SZ002252,SH600999,SZ000895,SH600519,SH600015,SZ002352,SH601398,SH600941,SH601818,SH601456,SH601995,SH600377,SH601186,SH601059,SZ001965,SH600918,SH601988,SH600019,SZ000858,SH600104,SZ000725,SH601916,-0.00595475547015667,-3.8325787e-05,0.2,-0.00635475547015667,0.9759571182890597,0.96211886,1.0181410838470026,-0.04143233803958936
20,2026-04-03,SZ000538,SH601169,SH600919,SH600887,SH601166,SH601939,SH601668,SH600926,SH601607,SH601328,SH601816,SH601059,SH601658,SH600600,SH600018,SZ002415,SH600036,SZ000895,SZ000651,SH601766,SH601229,SH601009,SH600941,SZ000001,SH600900,SH600999,SH601006,SH601633,SH600918,SH601456,SH601838,SH601998,SH601995,SH600015,SZ002142,SZ000333,SZ000725,SZ000166,SZ002352,SH601916,SH600519,SZ001391,SH601825,SH600023,SH601398,SZ000999,SH601186,SH601077,SZ000876,SH600061,0.012963798828423023,0.034891605,0.12,0.012723798828423023,0.9883750003273372,0.99568874,1.0181410838470026,-0.029235715945373306
21,2026-04-07,SH600919,SH601169,SH600926,SZ000538,SZ000001,SH601658,SH600600,SH601166,SH601607,SH601838,SH601009,SH601816,SH600887,SH601668,SH601328,SH601988,SH600036,SZ002352,SZ000333,SH600018,SH601939,SH601766,SZ002142,SH601825,SH601916,SZ000651,SH600999,SH600900,SH600061,SH601229,SH601633,SH601998,SH601006,SH600941,SZ000895,SZ002252,SH601186,SZ000166,SH600015,SH601059,SH600085,SH601077,SZ002415,SH601456,SH600161,SH601818,SH600918,SH601398,SH601995,SZ000858,-0.010597001761198044,-0.0063844323,0.14,-0.010877001761198045,0.9776244437080527,0.98933184,1.0181410838470026,-0.039794720772743555
22,2026-04-08,SH600887,SH601166,SH601816,SH601998,SH601607,SH600919,SH600600,SH601169,SZ000001,SH600926,SZ000538,SH601668,SZ000651,SH601838,SH600018,SH600036,SH601633,SH601328,SH601658,SH601988,SZ002352,SH600941,SH601728,SH601006,SZ000895,SH601229,SH601077,SH600741,SH601939,SH601009,SZ000858,SH600015,SH600900,SZ000333,SH601818,SH601919,SH603288,SH601825,SH601916,SH601766,SH600660,SH601059,SH600918,SH601398,SZ002142,SH600061,SH600519,SH601186,SH600085,SH600585,0.0019483697833493352,0.015406609,0.16,0.0016283697833493352,0.9792163778116505,1.0045741,1.0181410838470026,-0.03823115151023746
23,2026-04-09,SH600919,SH601998,SH600926,SZ000001,SH601166,SH601816,SH601169,SH600887,SH600015,SH601668,SH600941,SH601658,SH600600,SH601607,SH601298,SH600018,SZ000651,SH601838,SH600036,SZ000895,SH601328,SH601988,SH601916,SH601009,SH601825,SH601939,SH601919,SZ002352,SH601186,SH601229,SZ000333,SH601633,SH601059,SH600918,SZ002415,SH601077,SZ300498,SH601456,SH603288,SH601818,SH601995,SZ000166,SH600104,SZ000858,SZ000538,SH601398,SZ002142,SH600660,SH601728,SH600795,0.000717529037501663,0.0020662546,0.22,0.00027752903750166295,0.9794881387904905,1.0066497,1.0181410838470026,-0.03796423272741698
