,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
1529,2026-04-27,SH601211,-0.13557538390159607,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1530,2026-04-27,SH601225,0.07564964890480042,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1531,2026-04-27,SH601229,-0.10088062286376953,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1532,2026-04-27,SH601236,-0.006603828631341457,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1533,2026-04-27,SH601238,-0.10648760944604874,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1534,2026-04-27,SH601288,0.004507478326559067,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1535,2026-04-27,SH601298,-0.14315620064735413,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1536,2026-04-27,SH601318,-0.14676569402217865,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1537,2026-04-27,SH601319,-0.1252806931734085,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1538,2026-04-27,SH601166,-0.06855545938014984,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1539,2026-04-27,SH600585,-0.21409082412719727,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1540,2026-04-27,SH601012,0.0712113082408905,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1541,2026-04-27,SH601006,-0.02079525589942932,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
1542,2026-04-27,SH600600,-0.019715068861842155,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260427_14,3a3cf9aaaf054b75bfbd6840e7117f57,0.138,,,
